Motif,RBP
MTF11927,HNRNPL
MTF11960,HRP1
MTF12073,IGF2BP1
MTF12107,IGF2BP1
MTF11929,IGF2BP1
MTF11959,IGF2BP2
MTF12102,IGF2BP2
MTF11836,IGF2BP2
MTF11914,IGF2BP2
MTF11923,IGF2BP2
MTF11834,IGF2BP3
MTF11874,ILF2
MTF11877,ILF2
MTF11845,ILF2
MTF11910,KHDRBS1
MTF11811,KHDRBS2
MTF11933,KHDRBS2
MTF11899,KHDRBS2
MTF12017,KHDRBS2
MTF11869,KHDRBS3
MTF12120,KHDRBS3
MTF11813,KHDRBS3
MTF12094,KHDRBS3
MTF11860,KHSRP
MTF12063,KHSRP
MTF12062,LIN28A
MTF11818,LIN28A
MTF11837,MAL8P140
MTF11902,MAL13P135
MTF11916,MATR3
MTF11969,MBNL1
MTF12100,MBNL1
MTF11896,MBNL1
MTF12114,MBNL1
MTF11901,MBNL1
MTF11809,MSI1
MTF11833,MSI1
MTF12129,MSI1
MTF11802,MSI1
MTF11981,MSI1
MTF12113,NOVA1
MTF12029,NOVA1
MTF11826,NOVA1
MTF11821,NOVA1
MTF12059,NUPL2
MTF11822,NUPL2
MTF11995,NUPL2
